CTH	CBH	cloud_depth
2473.9	1920	553.9
2900.7	2080	820.7
2729.1	1580	1149.1
2905.8	1840	1065.8
2287.6	1270	1017.6
2425.7	1650	775.7
2535.2	1250	1285.2
2535.2	1680	855.2
2985	940	2045
2929.6	1660	1269.6
2587.8	2150	437.8
2587.8	1320	1267.8
2958.9	1030	1928.9
2958.9	860	2098.9
2882.9	1310	1572.9
2898.9	1070	1828.9
2954.4	2440	514.4
2954.4	1860	1094.4
2954.4	2350	604.4
2954.4	1430	1524.4
2491.2	800	1691.2
2843.8	1670	1173.8
2843.8	850	1993.8
2843.8	2180	663.8
1917.5	910	1007.5
1917.5	1080	837.5
2768.6	1800	968.6
2884.5	1960	924.5
2884.5	1200	1684.5
2884.5	990	1894.5
2523.2	1270	1253.2
2523.2	910	1613.2
2667.2	1350	1317.2
2934	950	1984
2934	1030	1904
2939.7	1030	1909.7
2558	1230	1328
2403	1980	423
2936.9	840	2096.9
2958.9	1300	1658.9
2611.8	1700	911.8
2905.8	1000	1905.8
2727	2070	657
2969.2	1790	1179.2
2969.2	2250	719.2
2772.6	2190	582.6
2349.6	790	1559.6
2822.5	780	2042.5
2518.8	650	1868.8
2655.8	1620	1035.8
2627.5	1370	1257.5
2873.1	2120	753.1
2964.9	1300	1664.9
2724.8	540	2184.8
2724.8	1270	1454.8
2088.1	1160	928.1
2833.9	770	2063.9
2243.7	580	1663.7
2243.7	770	1473.7
2744.3	940	1804.3
2744.3	650	2094.3
2682.5	1210	1472.5
2918.1	690	2228.1
2093.4	1410	683.4
2948.9	840	2108.9
2868.2	1430	1438.2
2686.5	1630	1056.5
2438.3	1180	1258.3
2888.1	960	1928.1
2249.2	1010	1239.2
2249.2	970	1279.2
2847.9	2380	467.9
2844.6	2090	754.6
2058.1	1280	778.1
2974.4	1200	1774.4
2785	2400	385
1471.6	780	691.6
2499.5	1020	1479.5
2955.8	1110	1845.8
2474.5	1480	994.5
2941.5	980	1961.5
1794	1420	374
2489.9	930	1559.9
2489.9	1030	1459.9
2556.4	1330	1226.4
2556.4	1339.27	1217.13
2554.9	1290	1264.9
2911.7	1730	1181.7
2911.7	1640	1271.7
2911.7	1880	1031.7
2911.7	2200	711.7
2911.7	2250	661.7
2911.7	1950	961.7
2707.7	1460	1247.7
2524.1	1370	1154.1
2073.9	1280	793.9
2665.6	1650	1015.6
2665.6	1880	785.6
2726.1	2110	616.1
2776.1	1900	876.1
2776.1	590	2186.1
2852.5	2060	792.5
